annee,compte,budget,groupe_compte
2024,601,600.0,601
2024,602,5000.0,602
2024,604,0.0,604
2024,606,950.0,606
2025,601,670.0,601
2025,602,3800.0,602
2025,604,0.0,604
2025,606,300.0,606
2025,611,9000.0,611
2025,613,860.0,613
2025,614,4850.0,614
2025,615,5100.0,615
2025,616,3810.0,616
2025,6211,7410.0,6211
2025,6213,1000.0,6213
2025,6222,0.0,6222
2025,6223,0.0,6223
2025,623,3000.0,623
2025,624,100.0,624
2025,662,100.0,662
2025,671,0.0,671
2025,672,0.0,672
2025,678,0.0,678
2025,713,0.0,713
2026,601,1000.0,601
2026,602,3800.0,602
2026,604,0.0,604
2026,606,200.0,606
